user_id,product_id,interaction_score
1,159,1
1,213,1
1,293,6
1,364,1
1,478,1
1,1150,1
1,1154,2
1,1159,1
1,1170,2
1,1174,1
1,1175,1
1,1181,1
1,1187,1
1,1192,1
1,1199,1
1,1201,2
1,1204,1
1,1207,2
1,1215,1
1,1216,2
1,1224,1
1,1231,1
1,1238,1
1,1247,1
1,1249,4
1,1256,2
1,1258,1
1,1261,2
1,1269,1
1,1271,10
1,1281,1
1,1284,1
1,1286,1
1,1289,2
1,1290,1
1,1298,2
1,1302,4
1,1305,1
1,1306,1
1,1308,12
1,1309,1
1,1330,1
1,1336,2
1,1348,1
1,1376,1
1,1417,1
1,1593,1
1,1609,4
1,1632,2
1,1633,4
1,1650,3
1,1652,1
1,1656,4
1,1669,1
1,1692,2
1,1706,6
1,1709,1
1,1724,2
1,1726,10
1,1730,6
1,1746,1
1,1749,6
1,1757,10
1,1763,1
1,1772,1
1,1775,-5
1,1800,1
1,1808,2
1,1809,2
1,1812,1
1,1816,1
1,1819,1
1,1830,4
1,1833,10
1,1835,2
1,1844,1
1,1851,1
1,1855,1
1,1859,10
1,1865,1
1,1871,4
1,1874,1
1,1883,1
1,1932,1
1,1962,1
1,1963,1
1,2055,4
1,2110,1
1,2147,1
1,2168,1
1,2213,1
1,2241,2
1,2262,1
1,2278,1
2,295,1
2,296,1
2,316,2
2,326,1
2,356,1
2,399,1
2,410,4
2,1059,1
2,1113,1
2,1296,2
2,1354,1
2,1361,1
2,1657,1
2,1916,2
2,1917,2
2,1921,2
2,1923,6
2,1925,2
2,1927,1
2,1930,1
2,1933,1
2,1937,2
2,1944,1
2,1945,2
2,1946,1
2,1947,1
2,1948,3
2,1951,2
2,1954,1
2,1955,6
2,1958,6
2,1961,1
2,1962,2
2,1966,1
2,1972,3
2,1973,1
2,1974,3
2,1975,1
2,1977,3
2,1978,4
2,1980,2
2,1988,2
2,1989,2
2,1992,10
2,1994,3
2,1996,1
2,2000,5
2,2001,2
2,2005,1
2,2006,1
2,2007,6
2,2009,2
2,2010,5
2,2013,2
2,2061,1
2,2073,1
2,2269,2
2,2291,9
2,2292,1
2,2293,6
2,2294,1
2,2296,11
2,2298,2
2,2299,-4
2,2301,5
2,2303,2
2,2305,12
2,2307,2
2,2308,6
2,2310,3
2,2311,1
2,2313,1
2,2315,5
2,2317,2
3,97,1
3,165,6
3,218,1
3,269,1
3,294,4
3,534,1
3,1146,6
3,1147,3
3,1148,12
3,1149,2
3,1150,5
3,1151,4
3,1152,5
3,1153,3
3,1154,3
3,1155,3
3,1156,5
3,1158,5
3,1412,6
3,1425,1
3,1466,6
3,1524,2
3,1553,1
3,1646,1
3,1647,1
3,1652,6
3,1663,2
3,1665,1
3,1679,10
3,1710,4
3,1733,1
